                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5243,                 3.1617,                 3.8643,                 2.3635,                0.00314,                  0.941,                0.10609,                0.02545,                0.00285,                  0.855,                0.04019,                0.00711,                 2.2486,                 6.4607,                 3.8167,                 2.2765,             0.00065608,             0.00065608,             0.00065608
                      2,                 2.0416,                 1.9068,                 2.7513,                 1.9306,                0.18268,                  0.449,                0.15386,                0.03761,                0.18098,                  0.455,                0.15647,                0.04169,                 2.4878,                 4.9545,                  2.925,                 2.5113,              0.0013097,              0.0013097,              0.0013097
                      3,                 1.8422,                 1.8362,                 2.3733,                 1.7218,                0.20265,                  0.387,                0.14578,                0.03008,                0.19972,                0.42976,                0.15052,                0.04197,                 2.8343,                 5.1415,                 3.8027,                 3.0002,                0.00195,                0.00195,                0.00195
                      4,                 1.7011,                 1.7261,                 2.0674,                 1.5855,                0.48483,                  0.678,                0.55653,                 0.2057,                0.46381,                  0.706,                0.53407,                 0.2125,                 2.1118,                  4.082,                  1.665,                 2.5111,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6538,                 1.6659,                 1.8765,                 1.5778,                0.72094,                0.76469,                0.77163,                0.27673,                 0.6972,                  0.774,                0.77919,                0.32902,                 2.2026,                 4.1002,                 1.4124,                 2.3199,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.6055,                 1.6346,                 1.8356,                 1.5436,                 0.5299,                  0.716,                0.65645,                0.29078,                0.52247,                  0.716,                0.65472,                 0.2713,                 1.6637,                 4.8362,                 1.7829,                  1.809,               0.001901,               0.001901,               0.001901
                      7,                 1.5126,                  1.603,                 1.7473,                 1.4642,                0.76824,                  0.769,                0.79982,                0.25415,                0.73843,                0.79329,                0.79301,                0.31663,                 2.3008,                 3.7328,                 1.1987,                 2.4698,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5027,                 1.5678,                 1.6682,                 1.4606,                0.67044,                  0.732,                 0.7079,                0.25139,                0.63895,                  0.716,                0.68086,                0.28076,                 2.0452,                 3.5199,                 1.3728,                 2.1924,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4611,                 1.5525,                 1.6408,                  1.423,                0.71461,                0.72616,                0.68047,                 0.2373,                0.71303,                0.72552,                0.68502,                0.26005,                 1.8644,                  3.815,                 1.4858,                 1.9227,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4258,                 1.5135,                 1.6472,                 1.4049,                0.62469,                  0.724,                0.73343,                0.30216,                0.63962,                  0.734,                0.74818,                0.32771,                 1.8897,                 3.8348,                 1.2334,                 2.1411,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.405,                 1.5358,                   1.57,                  1.372,                 0.8328,                0.77704,                0.86558,                0.39397,                0.76462,                  0.733,                0.79513,                0.32704,                 1.5874,                 4.8214,                 1.2188,                 1.6968,               0.001802,               0.001802,               0.001802
